Column,Position,Num_Cells1,Dens1,Num_Cells2,Dens2,Num_Cells3,Dens3,AvgCell,AvgDens,DensSD,CV,Time
1,25,34,4.76E-04,47,6.57E-04,58,8.11E-04,46,6.48E-04,1.68E-04,2.59E+01,0
2,75,32,4.48E-04,46,6.43E-04,56,7.83E-04,45,6.25E-04,1.69E-04,2.70E+01,0
3,125,24,3.36E-04,39,5.45E-04,40,5.59E-04,34,4.80E-04,1.25E-04,2.61E+01,0
4,175,27,3.78E-04,49,6.85E-04,49,6.85E-04,42,5.83E-04,1.78E-04,3.05E+01,0
5,225,35,4.90E-04,50,6.99E-04,50,6.99E-04,45,6.29E-04,1.21E-04,1.92E+01,0
6,275,32,4.48E-04,43,6.01E-04,50,6.99E-04,42,5.83E-04,1.27E-04,2.18E+01,0
7,325,33,4.62E-04,39,5.45E-04,43,6.01E-04,38,5.36E-04,7.04E-05,1.31E+01,0
8,375,37,5.17E-04,43,6.01E-04,43,6.01E-04,41,5.73E-04,4.84E-05,8.45E+00,0
9,425,44,6.15E-04,42,5.87E-04,47,6.57E-04,44,6.20E-04,3.52E-05,5.68E+00,0
10,475,39,5.45E-04,28,3.92E-04,48,6.71E-04,38,5.36E-04,1.40E-04,2.61E+01,0
11,525,27,3.78E-04,37,5.17E-04,45,6.29E-04,36,5.08E-04,1.26E-04,2.48E+01,0
12,575,23,3.22E-04,26,3.64E-04,39,5.45E-04,29,4.10E-04,1.19E-04,2.90E+01,0
13,625,33,4.62E-04,29,4.06E-04,42,5.87E-04,35,4.85E-04,9.31E-05,1.92E+01,0
14,675,36,5.03E-04,13,1.82E-04,12,1.68E-04,20,2.84E-04,1.90E-04,6.68E+01,0
15,725,21,2.94E-04,1,1.40E-05,0,0.00E+00,7,1.03E-04,1.66E-04,1.62E+02,0
16,775,21,2.94E-04,2,2.80E-05,2,2.80E-05,8,1.17E-04,1.53E-04,1.32E+02,0
17,825,6,8.39E-05,5,6.99E-05,1,1.40E-05,4,5.59E-05,3.70E-05,6.61E+01,0
18,875,0,0.00E+00,1,1.40E-05,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,0
19,925,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
20,975,0,0.00E+00,0,0.00E+00,4,5.59E-05,1,1.86E-05,3.23E-05,1.73E+02,0
21,1025,0,0.00E+00,2,2.80E-05,0,0.00E+00,1,9.32E-06,1.61E-05,1.73E+02,0
22,1075,0,0.00E+00,8,1.12E-04,0,0.00E+00,3,3.73E-05,6.46E-05,1.73E+02,0
23,1125,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
24,1175,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
25,1225,3,4.20E-05,0,0.00E+00,1,1.40E-05,1,1.86E-05,2.14E-05,1.15E+02,0
26,1275,1,1.40E-05,2,2.80E-05,8,1.12E-04,4,5.13E-05,5.30E-05,1.03E+02,0
27,1325,1,1.40E-05,0,0.00E+00,6,8.39E-05,2,3.26E-05,4.50E-05,1.38E+02,0
28,1375,0,0.00E+00,3,4.20E-05,2,2.80E-05,2,2.33E-05,2.14E-05,9.17E+01,0
29,1425,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,0
30,1475,3,4.20E-05,2,2.80E-05,6,8.39E-05,4,5.13E-05,2.91E-05,5.68E+01,0
31,1525,22,3.08E-04,12,1.68E-04,15,2.10E-04,16,2.28E-04,7.18E-05,3.14E+01,0
32,1575,31,4.34E-04,26,3.64E-04,34,4.76E-04,30,4.24E-04,5.65E-05,1.33E+01,0
33,1625,32,4.48E-04,38,5.31E-04,41,5.73E-04,37,5.17E-04,6.41E-05,1.24E+01,0
34,1675,31,4.34E-04,37,5.17E-04,48,6.71E-04,39,5.41E-04,1.21E-04,2.23E+01,0
35,1725,26,3.64E-04,54,7.55E-04,33,4.62E-04,38,5.27E-04,2.04E-04,3.87E+01,0
36,1775,44,6.15E-04,52,7.27E-04,32,4.48E-04,43,5.97E-04,1.41E-04,2.36E+01,0
37,1825,43,6.01E-04,50,6.99E-04,41,5.73E-04,45,6.25E-04,6.61E-05,1.06E+01,0
38,1875,38,5.31E-04,51,7.13E-04,49,6.85E-04,46,6.43E-04,9.79E-05,1.52E+01,0
1,25,56,7.83E-04,58,8.11E-04,78,1.09E-03,64,8.95E-04,1.70E-04,1.90E+01,12
2,75,42,5.87E-04,59,8.25E-04,59,8.25E-04,53,7.46E-04,1.37E-04,1.84E+01,12
3,125,33,4.62E-04,61,8.53E-04,52,7.27E-04,49,6.81E-04,2.00E-04,2.94E+01,12
4,175,41,5.73E-04,52,7.27E-04,52,7.27E-04,48,6.76E-04,8.88E-05,1.31E+01,12
5,225,31,4.34E-04,54,7.55E-04,60,8.39E-04,48,6.76E-04,2.14E-04,3.17E+01,12
6,275,39,5.45E-04,50,6.99E-04,45,6.29E-04,45,6.25E-04,7.70E-05,1.23E+01,12
7,325,39,5.45E-04,46,6.43E-04,41,5.73E-04,42,5.87E-04,5.04E-05,8.58E+00,12
8,375,37,5.17E-04,47,6.57E-04,58,8.11E-04,47,6.62E-04,1.47E-04,2.22E+01,12
9,425,39,5.45E-04,44,6.15E-04,44,6.15E-04,42,5.92E-04,4.04E-05,6.82E+00,12
10,475,34,4.76E-04,40,5.59E-04,46,6.43E-04,40,5.59E-04,8.39E-05,1.50E+01,12
11,525,42,5.87E-04,35,4.90E-04,47,6.57E-04,41,5.78E-04,8.43E-05,1.46E+01,12
12,575,36,5.03E-04,41,5.73E-04,53,7.41E-04,43,6.06E-04,1.22E-04,2.02E+01,12
13,625,31,4.34E-04,41,5.73E-04,41,5.73E-04,38,5.27E-04,8.07E-05,1.53E+01,12
14,675,41,5.73E-04,37,5.17E-04,23,3.22E-04,34,4.71E-04,1.32E-04,2.81E+01,12
15,725,29,4.06E-04,9,1.26E-04,2,2.80E-05,13,1.86E-04,1.96E-04,1.05E+02,12
16,775,33,4.62E-04,1,1.40E-05,1,1.40E-05,12,1.63E-04,2.58E-04,1.58E+02,12
17,825,19,2.66E-04,6,8.39E-05,0,0.00E+00,8,1.17E-04,1.36E-04,1.17E+02,12
18,875,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,12
19,925,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,,12
20,975,0,0.00E+00,0,0.00E+00,2,2.80E-05,1,9.32E-06,1.61E-05,1.73E+02,12
21,1025,0,0.00E+00,1,1.40E-05,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,12
22,1075,0,0.00E+00,7,9.79E-05,0,0.00E+00,2,3.26E-05,5.65E-05,1.73E+02,12
23,1125,1,1.40E-05,1,1.40E-05,0,0.00E+00,1,9.32E-06,8.07E-06,8.66E+01,12
24,1175,1,1.40E-05,0,0.00E+00,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,12
25,1225,1,1.40E-05,1,1.40E-05,1,1.40E-05,1,1.40E-05,0.00E+00,0.00E+00,12
26,1275,1,1.40E-05,0,0.00E+00,10,1.40E-04,4,5.13E-05,7.70E-05,1.50E+02,12
27,1325,1,1.40E-05,0,0.00E+00,5,6.99E-05,2,2.80E-05,3.70E-05,1.32E+02,12
28,1375,8,1.12E-04,2,2.80E-05,2,2.80E-05,4,5.59E-05,4.84E-05,8.66E+01,12
29,1425,20,2.80E-04,0,0.00E+00,5,6.99E-05,8,1.17E-04,1.46E-04,1.25E+02,12
30,1475,13,1.82E-04,0,0.00E+00,22,3.08E-04,12,1.63E-04,1.55E-04,9.48E+01,12
31,1525,16,2.24E-04,28,3.92E-04,34,4.76E-04,26,3.64E-04,1.28E-04,3.53E+01,12
32,1575,44,6.15E-04,44,6.15E-04,40,5.59E-04,43,5.97E-04,3.23E-05,5.41E+00,12
33,1625,31,4.34E-04,38,5.31E-04,32,4.48E-04,34,4.71E-04,5.30E-05,1.12E+01,12
34,1675,27,3.78E-04,44,6.15E-04,44,6.15E-04,38,5.36E-04,1.37E-04,2.56E+01,12
35,1725,24,3.36E-04,52,7.27E-04,37,5.17E-04,38,5.27E-04,1.96E-04,3.72E+01,12
36,1775,33,4.62E-04,53,7.41E-04,34,4.76E-04,40,5.59E-04,1.58E-04,2.82E+01,12
37,1825,43,6.01E-04,62,8.67E-04,51,7.13E-04,52,7.27E-04,1.33E-04,1.83E+01,12
38,1875,46,6.43E-04,64,8.95E-04,48,6.71E-04,53,7.37E-04,1.38E-04,1.87E+01,12
1,25,82,1.15E-03,87,1.22E-03,99,1.38E-03,89,1.25E-03,1.22E-04,9.78E+00,24
2,75,65,9.09E-04,84,1.17E-03,80,1.12E-03,76,1.07E-03,1.40E-04,1.31E+01,24
3,125,57,7.97E-04,73,1.02E-03,78,1.09E-03,69,9.70E-04,1.53E-04,1.58E+01,24
4,175,71,9.93E-04,83,1.16E-03,77,1.08E-03,77,1.08E-03,8.39E-05,7.79E+00,24
5,225,59,8.25E-04,68,9.51E-04,71,9.93E-04,66,9.23E-04,8.73E-05,9.46E+00,24
6,275,65,9.09E-04,72,1.01E-03,74,1.03E-03,70,9.84E-04,6.61E-05,6.72E+00,24
7,325,55,7.69E-04,58,8.11E-04,68,9.51E-04,60,8.44E-04,9.52E-05,1.13E+01,24
8,375,52,7.27E-04,65,9.09E-04,71,9.93E-04,63,8.76E-04,1.36E-04,1.55E+01,24
9,425,67,9.37E-04,65,9.09E-04,73,1.02E-03,68,9.56E-04,5.82E-05,6.09E+00,24
10,475,62,8.67E-04,70,9.79E-04,78,1.09E-03,70,9.79E-04,1.12E-04,1.14E+01,24
11,525,49,6.85E-04,67,9.37E-04,72,1.01E-03,63,8.76E-04,1.69E-04,1.93E+01,24
12,575,51,7.13E-04,69,9.65E-04,74,1.03E-03,65,9.04E-04,1.69E-04,1.87E+01,24
13,625,51,7.13E-04,65,9.09E-04,71,9.93E-04,62,8.72E-04,1.44E-04,1.65E+01,24
14,675,46,6.43E-04,57,7.97E-04,55,7.69E-04,53,7.37E-04,8.20E-05,1.11E+01,24
15,725,44,6.15E-04,49,6.85E-04,29,4.06E-04,41,5.69E-04,1.46E-04,2.56E+01,24
16,775,48,6.71E-04,22,3.08E-04,12,1.68E-04,27,3.82E-04,2.60E-04,6.80E+01,24
17,825,47,6.57E-04,9,1.26E-04,9,1.26E-04,22,3.03E-04,3.07E-04,1.01E+02,24
18,875,22,3.08E-04,5,6.99E-05,3,4.20E-05,10,1.40E-04,1.46E-04,1.04E+02,24
19,925,6,8.39E-05,3,4.20E-05,0,0.00E+00,3,4.20E-05,4.20E-05,1.00E+02,24
20,975,0,0.00E+00,3,4.20E-05,2,2.80E-05,2,2.33E-05,2.14E-05,9.17E+01,24
21,1025,0,0.00E+00,1,1.40E-05,0,0.00E+00,0,4.66E-06,8.07E-06,1.73E+02,24
22,1075,2,2.80E-05,2,2.80E-05,0,0.00E+00,1,1.86E-05,1.61E-05,8.66E+01,24
23,1125,1,1.40E-05,2,2.80E-05,0,0.00E+00,1,1.40E-05,1.40E-05,1.00E+02,24
24,1175,3,4.20E-05,3,4.20E-05,1,1.40E-05,2,3.26E-05,1.61E-05,4.95E+01,24
25,1225,2,2.80E-05,0,0.00E+00,3,4.20E-05,2,2.33E-05,2.14E-05,9.17E+01,24
26,1275,4,5.59E-05,4,5.59E-05,14,1.96E-04,7,1.03E-04,8.07E-05,7.87E+01,24
27,1325,15,2.10E-04,8,1.12E-04,11,1.54E-04,11,1.59E-04,4.91E-05,3.10E+01,24
28,1375,31,4.34E-04,8,1.12E-04,12,1.68E-04,17,2.38E-04,1.72E-04,7.23E+01,24
29,1425,42,5.87E-04,22,3.08E-04,36,5.03E-04,33,4.66E-04,1.44E-04,3.08E+01,24
30,1475,39,5.45E-04,28,3.92E-04,61,8.53E-04,43,5.97E-04,2.35E-04,3.94E+01,24
31,1525,50,6.99E-04,47,6.57E-04,60,8.39E-04,52,7.32E-04,9.52E-05,1.30E+01,24
32,1575,54,7.55E-04,58,8.11E-04,67,9.37E-04,60,8.34E-04,9.31E-05,1.12E+01,24
33,1625,47,6.57E-04,55,7.69E-04,58,8.11E-04,53,7.46E-04,7.95E-05,1.07E+01,24
34,1675,64,8.95E-04,52,7.27E-04,54,7.55E-04,57,7.93E-04,8.99E-05,1.13E+01,24
35,1725,50,6.99E-04,69,9.65E-04,58,8.11E-04,59,8.25E-04,1.33E-04,1.62E+01,24
36,1775,59,8.25E-04,81,1.13E-03,63,8.81E-04,68,9.46E-04,1.64E-04,1.73E+01,24
37,1825,62,8.67E-04,68,9.51E-04,71,9.93E-04,67,9.37E-04,6.41E-05,6.84E+00,24
38,1875,65,9.09E-04,67,9.37E-04,61,8.53E-04,64,9.00E-04,4.27E-05,4.75E+00,24
1,25,86,1.20E-03,101,1.41E-03,115,1.61E-03,101,1.41E-03,2.03E-04,1.44E+01,36
2,75,88,1.23E-03,102,1.43E-03,92,1.29E-03,94,1.31E-03,1.01E-04,7.67E+00,36
3,125,74,1.03E-03,99,1.38E-03,100,1.40E-03,91,1.27E-03,2.06E-04,1.62E+01,36
4,175,75,1.05E-03,85,1.19E-03,93,1.30E-03,84,1.18E-03,1.26E-04,1.07E+01,36
